Player's hand,Other player's cards,Win %,Lose %,Push %,Avg profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"Qc,6c",,0.23,0.59,0.17,-0.53,946860,47.599000000000004,38.395,4.148000000000001,1.5709999999999997,0.0,0.7849999999999999,0.11,0.012,0.0,0.0
"Qc,5c",,0.2,0.74,0.05,-6.57,342740,33.213,31.1,3.5839999999999996,1.47,0.0,0.7969999999999999,0.089,0.009000000000000001,0.0,0.0
"Qc,4c",,0.2,0.75,0.05,-6.57,342560,33.406000000000006,30.907,3.527,1.389,0.0,0.844,0.096,0.01,0.0,0.0
"Qc,3c",,0.2,0.75,0.05,-6.7,329510,33.503,30.822,3.546,1.403,0.0,0.856,0.073,0.008,0.0,0.0
"Qc,2c",,0.2,0.74,0.05,-6.35,363960,33.243,30.891000000000002,3.6510000000000002,1.421,0.0,0.818,0.087,0.013,0.0,0.0
"Jc,10c",,0.24,0.57,0.17,4.53,1453430,46.085,38.637,4.069,1.624,1.341,0.8200000000000001,0.08499999999999999,0.013,0.017,0.004
"Jc,9c",,0.24,0.57,0.18,2.04,1204560,46.346,38.719,4.047,1.591,0.9769999999999999,0.8370000000000001,0.08800000000000001,0.01,0.009000000000000001,0.0
"Jc,8c",,0.23,0.58,0.17,1.41,1141160,46.749,38.515,3.9960000000000004,1.625,0.674,0.8210000000000001,0.094,0.011000000000000001,0.011000000000000001,0.0
"Jc,7c",,0.23,0.58,0.17,-0.1,989730,47.437000000000005,38.407000000000004,3.968,1.6,0.315,0.8109999999999999,0.087,0.006999999999999999,0.006999999999999999,0.0
"Jc,6c",,0.23,0.58,0.17,-0.55,944300,47.649,38.488,4.099,1.506,0.0,0.8999999999999999,0.087,0.006999999999999999,0.0,0.0
"Jc,5c",,0.2,0.74,0.05,-6.02,397840,33.183,31.104,3.634,1.471,0.0,0.89,0.095,0.013,0.0,0.0
"Jc,4c",,0.2,0.74,0.05,-6.33,366380,33.15,30.842999999999996,3.633,1.455,0.0,0.861,0.095,0.01,0.0,0.0
