Player's hand,Other player's cards,Win %,Lose %,Push %,Total profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"11c,8c",,0.23,0.57,0.18,13890,1013890,46.64,38.769999999999996,4.08,1.48,0.79,0.8999999999999999,0.08,0.03,0.0,0.0
"11c,7c",,0.23,0.59,0.17,-3090,996910,47.660000000000004,37.65,4.19,1.51,0.19,0.9900000000000001,0.06999999999999999,0.01,0.0,0.0
"11c,6c",,0.23,0.59,0.18,-8210,991790,47.88,38.41,4.0,1.69,0.0,0.9299999999999999,0.06999999999999999,0.01,0.0,0.0
"11c,5c",,0.19,0.75,0.05,-76140,923860,33.22,31.56,3.2099999999999995,1.52,0.0,0.8,0.06999999999999999,0.0,0.0,0.0
"11c,4c",,0.2,0.74,0.04,-58850,941150,33.489999999999995,31.119999999999997,3.81,1.52,0.0,0.8500000000000001,0.06,0.01,0.0,0.0
"11c,3c",,0.2,0.74,0.05,-61380,938620,32.519999999999996,31.759999999999998,3.8899999999999997,1.47,0.0,0.8200000000000001,0.08,0.0,0.0,0.0
"11c,2c",,0.2,0.74,0.05,-56520,943480,32.43,31.919999999999998,3.45,1.5699999999999998,0.0,0.91,0.06999999999999999,0.01,0.0,0.0
"10c,9c",,0.11,0.64,0.23,-25730,974270,28.76,29.15,3.34,1.51,1.49,0.88,0.05,0.0,0.03,0.0
"10c,8c",,0.11,0.66,0.22,-53350,946650,29.45,28.16,3.4000000000000004,1.3,1.15,0.6799999999999999,0.13,0.02,0.0,0.0
"10c,7c",,0.1,0.65,0.23,-63860,936140,29.73,29.470000000000002,3.6999999999999997,1.17,0.69,0.75,0.1,0.0,0.0,0.0
"10c,6c",,0.1,0.66,0.23,-67840,932160,30.830000000000002,29.409999999999997,3.3000000000000003,1.38,0.27999999999999997,0.8200000000000001,0.1,0.01,0.0,0.0
"10c,5c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"10c,4c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"10c,3c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"10c,2c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"9c,8c",,0.1,0.65,0.24,-54460,945540,29.49,29.189999999999998,3.45,1.32,1.13,0.76,0.13999999999999999,0.0,0.0,0.0
"9c,7c",,0.11,0.65,0.23,-33990,966010,29.82,28.83,3.47,1.5699999999999998,0.86,1.0,0.05,0.02,0.02,0.0
"9c,6c",,0.1,0.66,0.23,-46880,953120,30.520000000000003,29.04,3.53,1.47,0.38999999999999996,0.83,0.1,0.0,0.03,0.0
"9c,5c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"9c,4c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"9c,3c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"9c,2c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"8c,7c",,0.11,0.65,0.23,-26800,973200,28.95,29.439999999999998,3.73,1.35,0.77,0.8999999999999999,0.1,0.0,0.04,0.0
"8c,6c",,0.1,0.66,0.23,-72860,927140,30.520000000000003,29.34,3.32,1.17,0.52,0.89,0.04,0.0,0.0,0.0
"8c,5c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"8c,4c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"8c,3c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"8c,2c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"7c,6c",,0.11,0.65,0.23,-40050,959950,30.509999999999998,28.73,3.5999999999999996,1.72,0.45999999999999996,0.75,0.06999999999999999,0.03,0.02,0.0
"7c,5c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"7c,4c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"7c,3c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"7c,2c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"6c,5c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"6c,4c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"6c,3c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"6c,2c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5c,4c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5c,3c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5c,2c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"4c,3c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"4c,2c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"3c,2c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
